TICKER,id
MSFT,1651
AMZN,6036
V,3035
CAT,137
LOW,415
UPS,3012
AAPL,1138
ABBV,649837
BA,102
FB,40772
CVX,13524
MRK,438
GS,2800
GOOGL,9079
KO,161
PFE,525
ISRG,8090
TSLA,43129
CSCO,1425
MCD,432
MS,2282
APTV,1891089
BRK-B,805672
TXN,651
GE,277
ALGN,12898
JPM,145
WFC,651
RTX,561
LHX,2898734
MKTX,11426
JNJ,364
QCOM,640
COST,2590
DIS,717
NEE,221824
TGT,194
ENPH,370454
NVDA,7633
HON,28
MKC,1627
PG,544
UNP,691
MLM,3568
UNH,1991
C,8843
MA,3677
SBUX,2202
PYPL,9848
SLB,588
BXP,3948
HD,655
CMG,15228
VRSN,7492
BAC,8874
RSG,8328
DOV,206
INTC,1519
BMY,107
EA,1628
CCL,806
AEE,690
NFLX,11891
DHR,193
CTSH,8014
HBAN,1496
LUMN,248324
XRAY,1438
CMCSA,1280
PM,7745
HPQ,1093161
IT,2465
XOM,237
AMGN,1130
GD,276
AMCR,33818
VZ,89
LIN,10436
AEP,34
DRI,4160
NVR,954
ADBE,1090
ORCL,1737
AAP,8708
ABT,12
ETR,231
CRM,11159
AES,291
J,913
T,613
FIS,313114
LMT,404
MO,528
TER,647
TJX,639
PPL,520
SYK,1918
ODFL,191
SPGI,1259396
WDC,1067
AVGO,6926
TFC,3145458
LVS,12171
TXT,654
WMT,715
LRCX,1582
WST,729
PEP,522
CVS,437
GILD,2016
TMO,658
AXP,35
MDLZ,628257
CHD,1254
NKE,1699
CI,119
RF,1397
KMX,6561
WAB,363475
CBOE,7355
LLY,223
ADP,64
HAL,307
DISCK,4220
ACN,4138
PLD,2631
MDT,436
HCA,2062
AAL,376356
CNP,338
VNO,708
JKHY,1543
XRX,747
WAT,5431
UA,15422
RCL,3579
LKQ,20395
ANTM,925157
CB,150
AIG,40
ROL,570
TMUS,9302
CMI,187
HII,398616
TWTR,100569
SPG,2458
CAG,172
AIZ,13793
D,204
DLR,36929
EXR,35227
BEN,240744
TRV,1904
BKR,1902699
EXPD,1381
APH,1967
BR,42559
AKAM,9219
DD,18241
ALB,2561
DGX,6655
A,9711
CAH,1227
EBAY,7853
PH,517
SNPS,2143
PSA,626
MAA,2504
IBM,354
DE,195
CERN,1242
AMAT,1139
NOW,403326
MMM,446
CDNS,1217
INTU,2293
MCHP,2298
AMT,8043
DXCM,37983
AMD,15
EXC,526
NLOK,1931
BLK,9331
OMC,1734
MU,1648
CINF,1255
SCHW,144
STE,333
BKNG,1398057
NTRS,1710
VTR,1093161
KEY,381
OKE,490
PKG,9610
CHTR,4071842
MTB,858
DVN,839
TSN,1975
BIO,789
KSU,19562
WYNN,15096
MOS,18767
PSX,498821
EFX,232
UDR,1988
STZ,805
IP,356
LYV,7601
IQV,8347
TT,3248638
TROW,3583
MPC,7657
LDOS,730545
BK,78
QRVO,942369
BBY,97
CDW,2347
OXY,491
FTV,1334602
ZTS,680848
VMC,709
CME,7796
CPRT,2621
ATVI,605784
LEN,400
NWS,3493
PNC,507
HSY,326
HWM,3311753
COP,14933
SNA,604
BDX,88
ATO,63
USB,8937
EXPE,9876
BWA,1652
URI,7395
CSX,124
TTWO,7413
IR,3248638
CCI,8416
SYF,852160
GWW,711
FISV,1384
CTXS,5432
CL,162
ESS,3630
EL,2785
UHS,2001
ILMN,11671
LNC,403
NSC,483
CF,2744
DUK,211
IRM,6774
GM,279
ALLE,750928
ICE,13785
WRB,2020
ADSK,1155
CMA,1281
FDX,246
WU,14655
SO,607
RE,18435
MMC,426
GPN,13140
ITW,348
APD,17
EQIX,11296
BSX,2187
ADI,49
VRTX,2080
FLS,1350
SHW,599
COF,3736
AON,53
ECL,222
RJF,559
EW,11809
EMR,225
ETN,221
FCX,266
PGR,546
HUM,340
CFG,13640
REGN,981
TSCO,2602
KLAC,1557
TFX,138296
NOC,488
HES,30
DG,1342
F,263
DOW,207
CHRW,7124
NEM,479
JBHT,1540
MCO,11303
LB,656
MET,2899
KMB,383
IDXX,2074
WM,2094
BIIB,1336
ROST,1843
TEL,18055
EOG,1467
SYY,634
JCI,365
BAX,83
MAR,7790
ROP,930
MHK,1644
ANET,295128
IPG,358
GPC,282
UAL,683
ABC,2703
MGM,1260
K,377
AVY,65
EMN,2452
IEX,344
PFG,2941
VIAC,40260
PRU,2944
WBA,3779
LUV,611
SRE,8437
GIS,278
HLT,330
ZBH,1017414
CNC,13542
IFF,355
CTVA,2159858
MSCI,14616
INFO,1337673
LNT,5828
ALXN,6092
PHM,506
ALL,2341
WHR,732
ORLY,2328
TPR,2104316
PCAR,1744
LW,911897
ADM,55
PPG,508
VLO,704
AFL,1302
YUM,6995
MNST,333508
XEL,487
TDG,22279
XLNX,2063
DAL,197
MSI,427189
PXD,3571
FRC,859
KMI,4156
CARR,11042
WELL,1166198
SWKS,762
PAYX,1762
DFS,13990
ANSS,6135
WLTW,1122768
CTAS,1256
GLW,183
SBAC,9253
WMB,736
ROK,567
PEG,16719
RMD,4241
BLL,74
SWK,350350
AOS,753
MCK,434
ALK,19
AME,7
NLSN,3776
ES,970297
KIM,2116
SIVB,107161
PBCT,199620
AZO,610
IPGP,12994
LYB,15015
DISH,4501
VRSK,140233
JNPR,7224
FAST,1391
APA,54
ZBRA,2089
DVA,5367
AMP,15316
MTD,7144
AWK,44
OTIS,7865
STT,1911
KEYS,877317
WEC,1103041
WY,730
SEE,590
VFC,703
DXC,1603125
AVB,2616
HBI,13758
FITB,1395
NOV,3306
KR,386
HFC,420685
CBRE,465818
LEG,398
DHI,2195
RL,2937
MXIM,1624
PRGO,2133
ETSY,42751
UNM,9522
KHC,1026712
GPS,1070099
FLT,18171
DTE,199
AJG,57
DLTR,4033
LH,1679
ED,16462
EQR,3635
CLX,158
FTNT,23128
O,3890
EIX,578
ARE,6956
COO,180
HPE,1093046
TYL,682
HOLX,1568
HIG,4314
NUE,489
GRMN,12667
CTLT,43266
ULTA,9466
TRMB,2067
FE,493
VTRS,4143192
PAYC,136736
XYL,2612822
STX,1864
CE,37824
NDAQ,12152
PEAK,321
CMS,120
MPWR,35963
DRE,212
ABMD,755
PKI,218
INCY,2534
TDY,9818
MAS,427
NTAP,5406
BF-B,797
DPZ,2770
HRL,877
FMC,239
SJM,362
POOL,1372188
EVRG,2550530
PWR,7594
HAS,890
FFIV,9222
WRK,1033056
FBHS,31
HST,305
L,405
FOXA,2938629
FANG,42426
PNR,1767
GL,669
CPB,129
NRG,11895
NCLH,9937
NWSA,3493
RHI,1838
ZION,2053
MRO,8229
NWL,1269885
HSIC,5319
REG,2379
TAP,1091
NI,460
IVZ,4518
DISCA,4220
PNW,534
COG,260
PVH,530
FRT,248
FOX,2938629
SLG,7127
VNT,4378962
