NO,TICKER,URL,English_total,Total,CE0_name,CEO_num,Pros1_text,Pros1_color,Pros1_num,Pros2_text,Pros2_color,Pros2_num,Pros3_text,Pros3_color,Pros3_num,Pros4_text,Pros4_color,Pros4_num,Pros5_text,Pros5_color,Pros5_num,Cons1_text,Cons1_color,Cons2_num,Cons2_text,Cons2_color,Cons2_num,Cons3_text,Cons3_color,Cons3_num,Cons4_text,Cons4_color,Cons4_num,Cons5_text,Cons5_color,Cons5_num
96,ZTS,https://www.glassdoor.com/Reviews/Zoetis-Reviews-E680848.htm,539,688,Kristin Peck,86,Understanding work/life balance,work/life balance,33,Positive work environment - good career development opportunities,work environment,30,Good payment good benefits challenge,good benefits,30,Casual dress atmosphere and Great people,Great people,28,Great Benefits and Amazing team,Great Benefits,25,Understanding work/life balance,work/life balance,33,Positive work environment - good career development opportunities,work environment,30,Good payment good benefits challenge,good benefits,30,Casual dress atmosphere and Great people,Great people,28,Great Benefits and Amazing team,Great Benefits,25
32,AVGO,https://www.glassdoor.com/Reviews/Broadcom-Reviews-E6926.htm,2904,3287,Hock E. Tan,607,Good stock options and competitive work environment,work environment,181,Professional Friendly Good work life balance,work life balance,176,Good pay for senior level engineers,Good pay,120,Working on cutting edge technology,cutting edge technology,118,Good benefits and work environment,Good benefits,90,Good stock options and competitive work environment,work environment,181,Professional Friendly Good work life balance,work life balance,176,Good pay for senior level engineers,Good pay,120,Working on cutting edge technology,cutting edge technology,118,Good benefits and work environment,Good benefits,90
0,MSFT,https://www.glassdoor.com/Reviews/Microsoft-Reviews-E1651.htm,27739,34037,Satya Nadella,6248,"Lots of guidance, lots for smart people",smart people,1973,A great benefits package for employees,great benefits,1732,Work environment is very professional,Work environment,1236,"Opportunity for advancement, good benefits",good benefits,1197,Microsoft has done a great job supporting employees through the Covid-19 pandemic with flexible work hours and supportive management,flexible work,686,"Lots of guidance, lots for smart people",smart people,1973,A great benefits package for employees,great benefits,1732,Work environment is very professional,Work environment,1236,"Opportunity for advancement, good benefits",good benefits,1197,Microsoft has done a great job supporting employees through the Covid-19 pandemic with flexible work hours and supportive management,flexible work,686
64,IBM,https://www.glassdoor.com/Reviews/IBM-Reviews-E354.htm,63093,75244,Arvind Krishna,4028,good work environment and nice company,good work environment,2650,Flexible working hours is of high benefit,Flexible working hours,2536,Good Work Culture in the company,Good Work Culture,1721,Opportunities to learn new skills,Opportunities to learn,1202,flexible working hours Good work culture,working hours,1167,good work environment and nice company,good work environment,2650,Flexible working hours is of high benefit,Flexible working hours,2536,Good Work Culture in the company,Good Work Culture,1721,Opportunities to learn new skills,Opportunities to learn,1202,flexible working hours Good work culture,working hours,1167
65,DE,https://www.glassdoor.com/Reviews/John-Deere-Reviews-E195.htm,2802,4058,John May,508,"Great Work Environment, Work Life Balance",Work Environment,130,friendly good pay remote work available,good pay,121,"Good Work Culture, Good Projects",Work Culture,96,There are great benefits provided,great benefits,90,Good benefits compared to other companies,Good benefits,88,"Great Work Environment, Work Life Balance",Work Environment,130,friendly good pay remote work available,good pay,121,"Good Work Culture, Good Projects",Work Culture,96,There are great benefits provided,great benefits,90,Good benefits compared to other companies,Good benefits,88
97,CME,https://www.glassdoor.com/Reviews/CME-Group-Reviews-E7796.htm,820,1043,Terry Duffy,212,Good compensation for a job with good work life balance,work life balance,119,big company with some good benefits,good benefits,56,the work environment is very good,work environment,41,"reputable company with great benefits, a lot of good resources, nice work environment, solid pay and incentives",great benefits,35,"great people, fun learning experience",great people,33,Good compensation for a job with good work life balance,work life balance,119,big company with some good benefits,good benefits,56,the work environment is very good,work environment,41,"reputable company with great benefits, a lot of good resources, nice work environment, solid pay and incentives",great benefits,35,"great people, fun learning experience",great people,33
33,WMT,https://www.glassdoor.com/Reviews/Walmart-Reviews-E715.htm,70067,75959,Doug McMillon,9572,Diverse workplace - Many departments - Good pay - Education Benefits - Room to grow,Good pay,2927,Really good benefits and understanding,good benefits,1512,"Relaxed environment, decent pay for a student",decent pay,1229,Flexible hours were helpful for me,Flexible hours,1176,Good working environment and great people,great people,1045,Diverse workplace - Many departments - Good pay - Education Benefits - Room to grow,Good pay,2927,Really good benefits and understanding,good benefits,1512,"Relaxed environment, decent pay for a student",decent pay,1229,Flexible hours were helpful for me,Flexible hours,1176,Good working environment and great people,great people,1045
66,AMAT,https://www.glassdoor.com/Reviews/Applied-Materials-Reviews-E1139.htm,2026,2328,Gary Dickerson,722,Good work life balance & flexibility,work life balance,143,Professional work environment that values motivated individuals with a strong work ethic,work environment,94,good benefits and generous annual bonus/stock options,good benefits,78,Working Cross all Departments with great people,great people,65,Good company to start your career,Good company,55,Good work life balance & flexibility,work life balance,143,Professional work environment that values motivated individuals with a strong work ethic,work environment,94,good benefits and generous annual bonus/stock options,good benefits,78,Working Cross all Departments with great people,great people,65,Good company to start your career,Good company,55
98,ATVI,https://www.glassdoor.com/Reviews/Activision-Blizzard-Reviews-E605784.htm,226,312,Robert A. Kotick,87,Activision Blizzard hires great people,great people,15,Getting to work on cool upcoming video games,video games,10,"Fast paced, fun, constantly changing, cutting edge",Fast paced,10,"Relaxed work environment, good on-site amenities, fantastic work holiday events, great work-life balance",work environment,9,Video gaming industry generally attracts fun people such as geeks and nerds,gaming industry,8,Activision Blizzard hires great people,great people,15,Getting to work on cool upcoming video games,video games,10,"Fast paced, fun, constantly changing, cutting edge",Fast paced,10,"Relaxed work environment, good on-site amenities, fantastic work holiday events, great work-life balance",work environment,9,Video gaming industry generally attracts fun people such as geeks and nerds,gaming industry,8
34,PEP,https://www.glassdoor.com/Reviews/PepsiCo-Reviews-E522.htm,9560,12874,Ramon Laguarta,1343,"Good pay, good brand name company",Good pay,644,"Good benefits and pay, good experience for",Good benefits,398,Great pay challenging work good place to work,Great pay,375,Great benefits and 401K matching helps,Great benefits,367,Great people that cared about me,Great people,346,"Good pay, good brand name company",Good pay,644,"Good benefits and pay, good experience for",Good benefits,398,Great pay challenging work good place to work,Great pay,375,Great benefits and 401K matching helps,Great benefits,367,Great people that cared about me,Great people,346
